fecha,producto,tienda,precio,nombre_original,unidad
2026-07-02,acelga,Chedraui,9.9,Acelgas Rollo,un
2026-07-02,acelga,HEB,15.0,HEB Acelga Verde,un
2026-07-02,acelga,Comer,11.89,Acelga,pza
2026-07-02,aguacate,Chedraui,59.5,Aguacate Chiapas por Kg,kg
2026-07-02,aguacate,HEB,66.9,Aguacate MT,kg
2026-07-02,aguacate,Comer,79.0,Aguacate Hass,kg
2026-07-02,ajo,Chedraui,89.9,Ajo por Kg,kg
2026-07-02,ajo,HEB,149.0,Ajo a Granel,kg
2026-07-02,ajo,Comer,31.59,Ajo Jumbo,grs
2026-07-02,alcachofa,Chedraui,39.9,Alcachofa Microwave 59g,kg
2026-07-02,alcachofa,Comer,189.89,Alcachofa,kg
2026-07-02,alfalfa,Chedraui,13.9,Alfalfa Fresca Kg,un
2026-07-02,alfalfa,Comer,19.39,Alfalfa Fresca,pza
2026-07-02,apio,Chedraui,24.8,Apio por kg,kg
2026-07-02,apio,HEB,41.9,Apio,kg
2026-07-02,apio,Comer,24.89,Apio,kg
2026-07-02,berenjena,Chedraui,64.9,Berenjena por Kg,kg
2026-07-02,berenjena,HEB,94.0,Berenjena,kg
2026-07-02,berenjena,Comer,69.89,Berenjena,kg
2026-07-02,betabel,Chedraui,19.9,Betabel por Kg,kg
2026-07-02,betabel,HEB,47.0,Betabel Rebotado,kg
2026-07-02,betabel,Comer,34.89,Betabel,kg
2026-07-02,blueberry,HEB,52.0,HEB Blueberry 170 g,un
2026-07-02,brocoli,Chedraui,39.5,Brócoli por Kg,kg
2026-07-02,brocoli,HEB,68.0,Mr Lucky Brócoli Coronas 1 kg,kg
2026-07-02,brocoli,Comer,42.89,Brocoli,kg
2026-07-02,camote,Chedraui,44.5,Camote Amarillo por kg,kg
2026-07-02,camote,HEB,39.95,Camote Amarillo 1 kg,kg
2026-07-02,camote,Comer,98.49,Camote Naranja Importado,kg
2026-07-02,cana_azucar,Comer,26.19,Caña 4639 1,kg
2026-07-02,cebolla_blanca,Chedraui,37.8,Cebolla Blanca por kg,kg
2026-07-02,cebolla_blanca,HEB,26.0,Cebolla Blanca con Cáscara,kg
2026-07-02,cebolla_blanca,Comer,39.89,Cebolla Blanca,kg
2026-07-02,cebolla_cambray,Chedraui,10.8,Cebolla de Cambray por Manojo,un
2026-07-02,cebolla_cambray,HEB,18.5,Cebolla Cambray,un
2026-07-02,cebolla_cambray,Comer,10.89,Cebolla Cambray,pza
2026-07-02,cebolla_morada,Chedraui,29.9,Cebolla Morada por kg,kg
2026-07-02,cebolla_morada,HEB,41.0,Cebolla Morada Limpia,kg
2026-07-02,cebolla_morada,Comer,39.89,Cebolla Morada,kg
2026-07-02,cebollin,Chedraui,11.9,Cebollín por Pieza,un
2026-07-02,cebollin,HEB,24.0,Cebollin 1 pz,un
2026-07-02,cebollin,Comer,29.89,Cebollin,grs
2026-07-02,cereza,Chedraui,125.0,Cereza Natural kg,kg
2026-07-02,cereza,HEB,261.0,HEB Cereza Importada,kg
2026-07-02,cereza,Comer,197.99,Cereza,kg
2026-07-02,chayote,Chedraui,29.8,Chayote sin Espinas por kg,kg
2026-07-02,chayote,HEB,37.0,Chayote sin Espinas,kg
2026-07-02,chayote,Comer,34.89,Chayote Sin Espinas,kg
2026-07-02,chicharo,Chedraui,10.9,Chícharo por kg,kg
2026-07-02,chicharo,Comer,189.99,Brote De Chicharo,grs
2026-07-02,chile_caribe,HEB,83.9,Chile Caribe,kg
2026-07-02,chile_chilaca,Comer,92.31,Chilaca,kg
2026-07-02,chile_arbol,Chedraui,115.0,Chile de Árbol por Kg,kg
2026-07-02,chile_arbol,HEB,146.0,Chile de Árbol Fresco,kg
2026-07-02,chile_arbol,Comer,196.89,Chile Verde De Arbol,kg
2026-07-02,chile_guajillo,HEB,49.0,Tajin Tajin Chile Guajillo 75 g,un
2026-07-02,chile_guero,Chedraui,89.5,Chile Güero por Kg,kg
2026-07-02,chile_guero,Comer,79.89,Chile Hungaro,kg
2026-07-02,chile_habanero,Chedraui,150.0,Chile Habanero por Kg,kg
2026-07-02,chile_habanero,HEB,156.0,Chile Habanero Naranja,kg
2026-07-02,chile_habanero,Comer,189.89,Chile Habanero,kg
2026-07-02,chile_poblano,Chedraui,59.8,Chile Poblano por Kg,kg
2026-07-02,chile_poblano,HEB,52.0,Chile Poblano,kg
2026-07-02,chile_poblano,Comer,59.89,Chile Poblano,kg
2026-07-02,chile_serrano,Chedraui,39.8,Chile Serrano por Kg,kg
2026-07-02,chile_serrano,HEB,52.0,Chile Serrano,kg
2026-07-02,chile_serrano,Comer,39.89,Chile Serrano,kg
2026-07-02,cilantro,Chedraui,9.9,Cilantro Rollo,un
2026-07-02,cilantro,HEB,14.0,HEB Fresco en Cilantro Manojo,un
2026-07-02,cilantro,Comer,79.89,Germen De Cilantro,kg
2026-07-02,ciruela_moscatel,Chedraui,75.0,Ciruela Moscatel Kg,kg
2026-07-02,ciruela_moscatel,HEB,62.9,Ciruela Moscatel,kg
2026-07-02,ciruela_moscatel,Comer,90.79,Ciruela Moscatel,kg
2026-07-02,ciruela_roja,Chedraui,79.0,Ciruela por kg,kg
2026-07-02,ciruela_roja,HEB,94.0,Ciruela Negra Importada 1 Kg,kg
2026-07-02,ciruela_roja,Comer,98.49,Ciruela Nubiana,kg
2026-07-02,col_blanca,Chedraui,24.9,Col Blanca por kg,kg
2026-07-02,col_blanca,Comer,32.89,Col Blanca,kg
2026-07-02,coliflor,Chedraui,33.5,Floretes de Coliflor Mr. Lucky 454g,un
2026-07-02,coliflor,HEB,39.95,HEB Coliflor Blanca,un
2026-07-02,coliflor,Comer,39.89,Coliflor,pza
2026-07-02,durazno_amarillo,Chedraui,120.0,Durazno Amarillo kg,kg
2026-07-02,durazno_amarillo,HEB,105.0,Durazno Amarillo Sup Michoacan,kg
2026-07-02,durazno_rojo,Chedraui,99.0,Durazno Rojo por Kg,kg
2026-07-02,ejote,Chedraui,49.9,Ejote por kg,kg
2026-07-02,ejote,HEB,94.0,Ejote Verde,kg
2026-07-02,ejote,Comer,49.89,Ejote Verde,kg
2026-07-02,elote,Chedraui,68.5,Grano de Elote por kg,kg
2026-07-02,elote,HEB,4.95,Elote Blanco,un
2026-07-02,elote,Comer,89.99,Grano De Elote,kg
2026-07-02,epazote,Chedraui,14.0,Epazote Rollo,un
2026-07-02,epazote,HEB,16.0,Epazote Verde 1 pz,un
2026-07-02,epazote,Comer,23.49,Epazote,pza
2026-07-02,esparrago,Chedraui,27.9,Esparrago Verde 454g,un
2026-07-02,esparrago,HEB,79.95,HEB Espárrago Verde,un
2026-07-02,esparrago,Comer,197.99,Esparrago,kg
2026-07-02,espinaca,Chedraui,10.91,Espinacas Rollo,un
2026-07-02,espinaca,HEB,15.0,HEB Espinaca Manojo,un
2026-07-02,espinaca,Comer,11.89,Espinaca,pza
2026-07-02,frambuesa,Chedraui,58.5,Frambuesa Domo 170g,un
2026-07-02,frambuesa,HEB,52.0,Frambuesa 170 g,un
2026-07-02,fresa,Chedraui,71.4,Fresa Domo 454g,un
2026-07-02,fresa,HEB,73.0,HEB Fresas 454 g,un
2026-07-02,fresa,Comer,74.89,Fresa,pza
2026-07-02,germen_soya,Chedraui,64.9,Germen de Soya por kg,kg
2026-07-02,germen_soya,Comer,55.39,Germen De Soya,kg
2026-07-02,guanabana,Comer,104.89,Guanabana,kg
2026-07-02,guayaba,Chedraui,52.0,Guayaba por Kg,kg
2026-07-02,guayaba,HEB,54.95,Guayaba Suprema,kg
2026-07-02,guayaba,Comer,39.9,Guayaba,kg
2026-07-02,hierbabuena,Chedraui,20.9,Hierbabuena Alfavid 30g,un
2026-07-02,hierbabuena,HEB,31.0,Hierbabuena en Manojo 1 pz,un
2026-07-02,hierbabuena,Comer,21.69,Hierbabuena,pza
2026-07-02,jamaica,Chedraui,159.0,Jamaica por kg,kg
2026-07-02,jengibre,Chedraui,134.5,Jengibre por kg,kg
2026-07-02,jengibre,HEB,188.0,Jengibre,kg
2026-07-02,jengibre,Comer,197.99,Jengibre,kg
2026-07-02,jicama,Chedraui,29.5,Jícama por Kg,kg
2026-07-02,jicama,HEB,19.95,Jícama Grande,kg
2026-07-02,jicama,Comer,29.89,Jicama,kg
2026-07-02,jitomate_saladet,Chedraui,24.9,Tomate Saladet por kg,kg
2026-07-02,jitomate_saladet,Comer,26.89,Jitomate Saladet,kg
2026-07-02,jitomate_bola,Chedraui,59.9,Tomate Bola por kg,kg
2026-07-02,jitomate_bola,HEB,41.9,Tomate Bola Mediano 1 kg,kg
2026-07-02,jitomate_bola,Comer,59.89,Jitomate Bola,kg
2026-07-02,kiwi,Chedraui,76.0,Kiwi por Kg,kg
2026-07-02,kiwi,HEB,146.0,Kiwi,kg
2026-07-02,kiwi,Comer,124.99,Kiwi,kg
2026-07-02,lechuga_orejona,Chedraui,10.0,Lechuga Larga Pieza,un
2026-07-02,lechuga_orejona,HEB,28.0,Lechuga Orejona,un
2026-07-02,lechuga_orejona,Comer,25.89,Lechuga Orejona,pza
2026-07-02,lechuga_romana,Chedraui,25.8,Lechuga Romana Pieza,un
2026-07-02,lechuga_romana,HEB,26.0,Lechuga Romana 1 pz,un
2026-07-02,lechuga_romana,Comer,25.89,Lechuga Romana,pza
2026-07-02,lechuga_sangria,Chedraui,24.5,Lechuga Sangría Pieza,un
2026-07-02,lechuga_sangria,HEB,20.5,Lechuga Morada (Sangria) Nal 1 pz,un
2026-07-02,lechuga_sangria,Comer,19.89,Lechuga Sangria,pza
2026-07-02,lichi,Comer,80.99,Lichi,grs
2026-07-02,limon,Chedraui,18.0,Limón sin Semilla por Kg,kg
2026-07-02,limon,HEB,31.0,Limón sin Semilla,kg
2026-07-02,limon,Comer,34.89,Limon Sin Semilla,kg
2026-07-02,mamey,Chedraui,26.5,Mamey por Kg,kg
2026-07-02,mamey,HEB,73.0,Mamey Gde,kg
2026-07-02,mamey,Comer,43.89,Mamey,kg
2026-07-02,mandarina,Chedraui,46.9,Mandarina por Kg,kg
2026-07-02,mandarina,HEB,49.95,Mandarina Primosole 1 kg,kg
2026-07-02,mandarina,Comer,40.0,Mandarina Clementina Malla,pza
2026-07-02,mango_ataulfo,Chedraui,34.0,Mango Ataulfo por Kg,kg
2026-07-02,mango_ataulfo,HEB,47.0,Mango Ataulfo Mt,kg
2026-07-02,mango_ataulfo,Comer,46.89,Mango Ataulfo,kg
2026-07-02,mango_manila,Chedraui,49.9,Mango Manila por Kg,kg
2026-07-02,mango_manila,Comer,69.89,Mango Manila,kg
2026-07-02,mango_paraiso,Chedraui,21.8,Mango Paraíso por Kg,kg
2026-07-02,mango_paraiso,Comer,37.89,Mango Paraiso,kg
2026-07-02,manzana_golden,Chedraui,54.5,Manzana Golden Mediana por Kg,kg
2026-07-02,manzana_golden,HEB,51.0,Manzana Golden Saltillo Bin,kg
2026-07-02,manzana_granny,Chedraui,44.5,Manzana Granny Smith por Kg,kg
2026-07-02,manzana_granny,HEB,39.95,Manzana Granny Smith Gde Importada,kg
2026-07-02,manzana_granny,Comer,59.89,Manzana Granny,kg
2026-07-02,manzana_roja,Chedraui,45.0,Manzana Roja Chica en Bolsa por Kg,kg
2026-07-02,manzana_roja,HEB,28.0,Manzana Roja Mexicana Mt 1 Kg,kg
2026-07-02,manzana_royal_gala,Chedraui,38.0,Manzana Royal Gala en Bolsa por kg,kg
2026-07-02,manzana_royal_gala,HEB,62.0,Manzana Gala Nacional Charola 1 Kg,kg
2026-07-02,manzana_royal_gala,Comer,69.89,Manzana Royal Gala,kg
2026-07-02,mejorana,Comer,19.99,Mejorana,pza
2026-07-02,melon_amarillo,Chedraui,34.9,Melón Amarillo por Kg,kg
2026-07-02,melon_chino,Chedraui,39.8,Melón Chino por Kg,kg
2026-07-02,melon_chino,HEB,16.0,Melón Chino Mi Tienda,kg
2026-07-02,melon_chino,Comer,39.89,Melon Chino,kg
2026-07-02,naranja,Chedraui,41.0,Naranja Agria kg,kg
2026-07-02,naranja,HEB,14.0,Naranja C,kg
2026-07-02,naranja,Comer,29.0,Naranja Valencia,kg
2026-07-02,nopal_entero,Chedraui,32.91,Nopal por kg,kg
2026-07-02,nopal_entero,HEB,47.0,Nopal Penca en Bolsa,kg
2026-07-02,nopal_entero,Comer,33.89,Nopal,kg
2026-07-02,nopal_picado,Comer,42.89,Nopal Picado,kg
2026-07-02,papa_blanca,Chedraui,64.9,Papa Blanca por kg,kg
2026-07-02,papa_blanca,HEB,29.95,Papa Blanca,kg
2026-07-02,papa_blanca,Comer,69.89,Papa Blanca,kg
2026-07-02,papa_cambray,Chedraui,49.9,Papa Cambray por kg,kg
2026-07-02,papaya,Chedraui,38.9,Papaya Maradol por kg,kg
2026-07-02,papaya,HEB,39.0,Papaya Maradol,kg
2026-07-02,papaya,Comer,41.89,Papaya Maradol,kg
2026-07-02,pepino,Chedraui,19.9,Pepino Europeo por Kg,kg
2026-07-02,pepino,HEB,19.95,Pepino,kg
2026-07-02,pepino,Comer,27.89,Pepino Americano,kg
2026-07-02,pera_danjou,HEB,62.9,Pera D'Anjou,kg
2026-07-02,pera_danjou,Comer,49.0,Pera De Anjou,kg
2026-07-02,pera_mantequilla,Chedraui,47.9,Pera Mantequilla por Kg,kg
2026-07-02,perejil,Chedraui,9.9,Perejil Liso Rollo,un
2026-07-02,perejil,HEB,15.0,Perejil Liso 1 pz,un
2026-07-02,perejil,Comer,11.89,Perejil,pza
2026-07-02,pimiento_amarillo,Chedraui,98.5,Pimiento Amarillo por kg,kg
2026-07-02,pimiento_amarillo,HEB,105.0,Pimiento Amarillo,kg
